,,,,,
n,t(s),Position(cm),t(min),Error in Position (cm),Error in time (s)
1,0,5.6,0,0.3,0.5
2,30,5.1,0.5,0.3,0.5
3,60,4.2,1,0.3,0.5
4,90,2.6,1.5,0.3,0.5
5,120,1.2,2,0.3,0.5
6,150,-0.5,2.5,0.3,0.5
7,180,-2.3,3,0.3,0.5
8,210,-3.1,3.5,0.3,0.5
9,240,-4.2,4,0.3,0.5
10,270,-4.6,4.5,0.3,0.5
11,300,-4.7,5,0.3,0.5
12,330,-4.1,5.5,0.3,0.5
13,360,-3.2,6,0.3,0.5
14,390,-2.3,6.5,0.3,0.5
15,420,-0.9,7,0.3,0.5
16,450,0.4,7.5,0.3,0.5
17,480,1.9,8,0.3,0.5
18,510,2.9,8.5,0.3,0.5
19,540,3.5,9,0.3,0.5
20,570,3.7,9.5,0.3,0.5
21,600,3.6,10,0.3,0.5
22,630,3.6,10.5,0.3,0.5
23,660,2.6,11,0.3,0.5
24,690,1.8,11.5,0.3,0.5
25,720,0.6,12,0.3,0.5
26,750,-0.5,12.5,0.3,0.5
27,780,-1.8,13,0.3,0.5
28,810,-2.4,13.5,0.3,0.5
29,840,-3,14,0.3,0.5
30,870,-3.4,14.5,0.3,0.5
31,900,-3.4,15,0.3,0.5
32,930,-3.2,15.5,0.3,0.5
33,960,-2.8,16,0.3,0.5
34,990,-2.1,16.5,0.3,0.5
35,1020,-1.3,17,0.3,0.5
36,1050,-0.2,17.5,0.3,0.5
37,1080,0.6,18,0.3,0.5
38,1110,1.8,18.5,0.3,0.5
39,1140,2.3,19,0.3,0.5
40,1170,2.7,19.5,0.3,0.5
41,1200,2.8,20,0.3,0.5
42,1230,2.6,20.5,0.3,0.5
43,1260,2.4,21,0.3,0.5
44,1290,1.9,21.5,0.3,0.5
45,1320,1.2,22,0.3,0.5
46,1350,0.4,22.5,0.3,0.5
47,1380,-0.5,23,0.3,0.5
48,1410,-1.2,23.5,0.3,0.5
49,1440,-1.9,24,0.3,0.5
50,1470,-2.4,24.5,0.3,0.5
51,1500,-2.5,25,0.3,0.5
52,1530,-2.5,25.5,0.3,0.5
53,1560,-2.4,26,0.3,0.5
54,1590,-2.1,26.5,0.3,0.5
55,1620,-1.4,27,0.3,0.5
56,1650,-1,27.5,0.3,0.5
57,1680,-0.2,28,0.3,0.5
58,1710,0.2,28.5,0.3,0.5
59,1740,0.7,29,0.3,0.5
60,1770,1,29.5,0.3,0.5
61,1800,1.3,30,0.3,0.5
62,1830,1.5,30.5,0.3,0.5
63,1860,1.3,31,0.3,0.5
64,1890,1,31.5,0.3,0.5
65,1920,0.6,32,0.3,0.5
66,1950,0.2,32.5,0.3,0.5
67,1980,-0.2,33,0.3,0.5
68,2010,-0.9,33.5,0.3,0.5
69,2040,-1.2,34,0.3,0.5
70,2070,-1.8,34.5,0.3,0.5
71,2100,-2,35,0.3,0.5
72,2130,-2.1,35.5,0.3,0.5
73,2160,-2,36,0.3,0.5
74,2190,-1.8,36.5,0.3,0.5
75,2220,-1.2,37,0.3,0.5
76,2250,-0.9,37.5,0.3,0.5
77,2280,-0.4,38,0.3,0.5
78,2310,-0.1,38.5,0.3,0.5
79,2340,0.2,39,0.3,0.5
80,2370,0.5,39.5,0.3,0.5
81,2400,0.6,40,0.3,0.5
82,2430,0.6,40.5,0.3,0.5
83,2460,0.7,41,0.3,0.5
84,2490,0.5,41.5,0.3,0.5
85,2520,0.3,42,0.3,0.5
86,2550,0,42.5,0.3,0.5
87,2580,-0.4,43,0.3,0.5
88,2610,-0.7,43.5,0.3,0.5
89,2640,-1.1,44,0.3,0.5
90,2670,-1.3,44.5,0.3,0.5
91,2700,-1.7,45,0.3,0.5
92,2730,-1.8,45.5,0.3,0.5
93,2760,-1.8,46,0.3,0.5
94,2790,-1.7,46.5,0.3,0.5
95,2820,-1.6,47,0.3,0.5
96,2850,-1.4,47.5,0.3,0.5
97,2880,-1,48,0.3,0.5
98,2910,-0.7,48.5,0.3,0.5
99,2940,-0.3,49,0.3,0.5
100,2970,0,49.5,0.3,0.5
101,3000,0.2,50,0.3,0.5
102,3030,0.5,50.5,0.3,0.5
103,3060,0.6,51,0.3,0.5
104,3090,0.7,51.5,0.3,0.5
105,3120,0.6,52,0.3,0.5
106,3150,0.4,52.5,0.3,0.5
107,3180,0.1,53,0.3,0.5
108,3210,0,53.5,0.3,0.5
109,3240,-0.3,54,0.3,0.5
110,3270,-0.5,54.5,0.3,0.5
111,3300,-0.7,55,0.3,0.5
112,3330,-0.9,55.5,0.3,0.5
113,3360,-1.1,56,0.3,0.5
114,3390,-1.3,56.5,0.3,0.5
115,3420,-1.2,57,0.3,0.5
116,3450,-1.2,57.5,0.3,0.5
117,3480,-1.1,58,0.3,0.5
118,3510,-1,58.5,0.3,0.5
119,3540,-0.9,59,0.3,0.5
120,3570,-0.7,59.5,0.3,0.5
121,3600,-0.6,60,0.3,0.5
122,3630,-0.4,60.5,0.3,0.5
123,3660,-0.3,61,0.3,0.5
,,-0.3,61.5,,
,,-0.4,62,,
,,-0.5,62.5,,
,,-0.6,63,,
,,-0.8,63.5,,
,,-1,64,,
,,-1.2,64.5,,
,,-1.3,65,,
,,-1.5,65.5,,
,,-1.5,66,,
,,-1.6,66.5,,
,,-1.8,67,,
,,-1.8,67.5,,
,,-1.7,68,,
,,-1.5,68.5,,
,,-1.3,69,,
,,-1.2,69.5,,
,,-1.1,70,,
,,-1,70.5,,
,,-1,71,,
,,-1.1,71.5,,
,,-1.1,72,,
,,-1.2,72.5,,
,,-1.4,73,,
,,-1.4,73.5,,
,,-1.5,74,,
,,-1.6,74.5,,
,,-1.7,75,,
,,-1.8,75.5,,
,,-1.9,76,,
,,-1.7,76.5,,
,,-1.6,77,,
,,-1.4,77.5,,
,,-1.3,78,,
,,-1.2,78.5,,
,,-1,79,,
,,-1,79.5,,
,,-1,80,,
,,-1.1,80.5,,
,,-1.2,81,,
,,-1.2,81.5,,
,,-1.3,82,,
,,-1.3,82.5,,
,,-1.5,83,,
,,-1.6,83.5,,
,,-1.8,84,,
,,-2.1,84.5,,
,,-2,85,,
,,-2,85.5,,
,,-1.9,86,,
,,-1.8,86.5,,
,,-1.6,87,,
,,-1.4,87.5,,
,,-1.3,88,,
,,-1.2,88.5,,
,,-1,89,,
,,-0.9,89.5,,
,,-0.9,90,,