n,t(s),Position(cm),t(min),Error in Position (cm)
1,0,-0.5,0,0.3
2,30,-0.25,0.5,0.3
3,60,0.5,1,0.3
4,90,1.5,1.5,0.3
5,120,3,2,0.3
6,150,4.5,2.5,0.3
7,180,6,3,0.3
8,210,8,3.5,0.3
9,240,9.5,4,0.3
10,270,10.25,4.5,0.3
11,300,11.25,5,0.3
12,330,12.25,5.5,0.3
13,360,12.4,6,0.3
14,390,11,6.5,0.3
15,420,10,7,0.3
16,450,9,7.5,0.3
17,480,7.3,8,0.3
18,510,6,8.5,0.3
19,540,4.9,9,0.3
20,570,3.75,9.5,0.3
21,600,3,10,0.3
22,630,2.6,10.5,0.3
23,660,2.5,11,0.3
24,690,3,11.5,0.3
25,720,3.5,12,0.3
26,750,4.1,12.5,0.3
27,780,5,13,0.3
28,810,6.25,13.5,0.3
29,840,7.3,14,0.3
30,870,8.2,14.5,0.3
31,900,8.9,15,0.3
32,930,9.5,15.5,0.3
33,960,9.6,16,0.3
34,990,9.5,16.5,0.3
35,1020,9,17,0.3
36,1050,8.4,17.5,0.3
37,1080,7.9,18,0.3
38,1110,7.1,18.5,0.3
39,1140,6.1,19,0.3
40,1170,5.5,19.5,0.3
41,1200,4.9,20,0.3
42,1230,4.5,20.5,0.3
43,1260,4,21,0.3
44,1290,3.8,21.5,0.3
45,1320,3.9,22,0.3
46,1350,4.5,22.5,0.3
47,1380,5,23,0.3
48,1410,5.5,23.5,0.3
49,1440,6.2,24,0.3
50,1470,6.9,24.5,0.3
51,1500,7.5,25,0.3
52,1530,8,25.5,0.3
53,1560,8.4,26,0.3
54,1590,,26.5,0.3
55,1620,8.5,27,0.3
56,1650,8.4,27.5,0.3
57,1680,8,28,0.3
58,1710,7.5,28.5,0.3
59,1740,7,29,0.3
60,1770,6.5,29.5,0.3
61,1800,6.1,30,0.3
62,1830,5.5,30.5,0.3
63,1860,5,31,0.3
64,1890,4.8,31.5,0.3
65,1920,4.6,32,0.3
66,1950,4.8,32.5,0.3
67,1980,5,33,0.3
68,2010,5.6,33.5,0.3
69,2040,6.2,34,0.3
70,2070,6.5,34.5,0.3
71,2100,,35,0.3
72,2130,7,35.5,0.3
73,2160,7.5,36,0.3
74,2190,7.7,36.5,0.3
75,2220,7.9,37,0.3
76,2250,7.9,37.5,0.3
77,2280,7.8,38,0.3
78,2310,7.5,38.5,0.3
79,2340,7.4,39,0.3
80,2370,6.8,39.5,0.3
81,2400,6,40,0.3
82,2430,4.8,40.5,0.3
83,2460,3.8,41,0.3
84,2490,2.3,41.5,0.3
85,2520,1.2,42,0.3
86,2550,0.5,42.5,0.3
87,2580,0,43,0.3
88,2610,0,43.5,0.3
89,2640,0.6,44,0.3
90,2670,1.9,44.5,0.3
91,2700,3.1,45,0.3
92,2730,4.9,45.5,0.3
93,2760,6.8,46,0.3
94,2790,8.4,46.5,0.3
95,2820,9.8,47,0.3
96,2850,11,47.5,0.3
97,2880,11.5,48,0.3
98,2910,11.7,48.5,0.3
99,2940,11.6,49,0.3
100,2970,10.9,49.5,0.3
101,3000,9.8,50,0.3
102,3030,8.6,50.5,0.3
103,3060,7.1,51,0.3
104,3090,5.8,51.5,0.3
105,3120,4.5,52,0.3
106,3150,3.5,52.5,0.3
107,3180,3.1,53,0.3
108,3210,2.5,53.5,0.3
109,3240,2.6,54,0.3
110,3270,3.1,54.5,0.3
111,3300,3.9,55,0.3
112,3330,4.6,55.5,0.3
113,3360,5.6,56,0.3
114,3390,6.3,56.5,0.3
115,3420,7.6,57,0.3
116,3450,8.5,57.5,0.3
117,3480,9,58,0.3
118,3510,9.5,58.5,0.3
119,3540,9.5,59,0.3
120,3570,9.4,59.5,0.3
121,3600,9,60,0.3
122,3630,8.5,60.5,0.3
123,3660,7.7,61,0.3